AFFGEOID,GEOID,GEO.display-label,pop,margin
1400000US04001942600,4.0E+09,"Census Tract 9426, Apache County, Arizona",1472,208
1400000US04001942700,4.0E+09,"Census Tract 9427, Apache County, Arizona",4836,317
1400000US04001944000,4.0E+09,"Census Tract 9440, Apache County, Arizona",6134,663
1400000US04001944100,4.0E+09,"Census Tract 9441, Apache County, Arizona",5803,420
1400000US04001944201,4.0E+09,"Census Tract 9442.01, Apache County, Arizona",4141,682
1400000US04001944202,4.0E+09,"Census Tract 9442.02, Apache County, Arizona",3938,639
1400000US04001944300,4.0E+09,"Census Tract 9443, Apache County, Arizona",7372,521
1400000US04001944901,4.0E+09,"Census Tract 9449.01, Apache County, Arizona",3750,362
1400000US04001944902,4.0E+09,"Census Tract 9449.02, Apache County, Arizona",5463,400
1400000US04001945001,4.0E+09,"Census Tract 9450.01, Apache County, Arizona",4814,682
1400000US04001945002,4.0E+09,"Census Tract 9450.02, Apache County, Arizona",4334,337
1400000US04001945100,4.0E+09,"Census Tract 9451, Apache County, Arizona",2395,319
1400000US04001970200,4.0E+09,"Census Tract 9702, Apache County, Arizona",4923,604
1400000US04001970300,4.0E+09,"Census Tract 9703, Apache County, Arizona",3965,521
1400000US04001970501,4.0E+09,"Census Tract 9705.01, Apache County, Arizona",5098,311
1400000US04001970502,4.0E+09,"Census Tract 9705.02, Apache County, Arizona",3704,335
1400000US04003000100,4.0E+09,"Census Tract 1, Cochise County, Arizona",1578,208
1400000US04003000201,4.0E+09,"Census Tract 2.01, Cochise County, Arizona",3172,477
1400000US04003000202,4.0E+09,"Census Tract 2.02, Cochise County, Arizona",3923,184
1400000US04003000203,4.0E+09,"Census Tract 2.03, Cochise County, Arizona",2543,290
1400000US04003000301,4.0E+09,"Census Tract 3.01, Cochise County, Arizona",3875,285
1400000US04003000302,4.0E+09,"Census Tract 3.02, Cochise County, Arizona",5278,641
1400000US04003000303,4.0E+09,"Census Tract 3.03, Cochise County, Arizona",3215,383
1400000US04003000400,4.0E+09,"Census Tract 4, Cochise County, Arizona",2173,245
1400000US04003000500,4.0E+09,"Census Tract 5, Cochise County, Arizona",9086,1318
1400000US04003000600,4.0E+09,"Census Tract 6, Cochise County, Arizona",2942,464
1400000US04003000700,4.0E+09,"Census Tract 7, Cochise County, Arizona",4637,472
1400000US04003000800,4.0E+09,"Census Tract 8, Cochise County, Arizona",4320,549
1400000US04003000901,4.0E+09,"Census Tract 9.01, Cochise County, Arizona",3032,436
1400000US04003000902,4.0E+09,"Census Tract 9.02, Cochise County, Arizona",2145,320
1400000US04003001000,4.0E+09,"Census Tract 10, Cochise County, Arizona",1609,257
1400000US04003001100,4.0E+09,"Census Tract 11, Cochise County, Arizona",3613,345
1400000US04003001200,4.0E+09,"Census Tract 12, Cochise County, Arizona",2909,343
1400000US04003001300,4.0E+09,"Census Tract 13, Cochise County, Arizona",5449,483
1400000US04003001401,4.0E+09,"Census Tract 14.01, Cochise County, Arizona",4680,484
1400000US04003001402,4.0E+09,"Census Tract 14.02, Cochise County, Arizona",1063,236
1400000US04003001501,4.0E+09,"Census Tract 15.01, Cochise County, Arizona",3518,357
1400000US04003001502,4.0E+09,"Census Tract 15.02, Cochise County, Arizona",4417,527
1400000US04003001601,4.0E+09,"Census Tract 16.01, Cochise County, Arizona",5315,653
1400000US04003001602,4.0E+09,"Census Tract 16.02, Cochise County, Arizona",3287,400
1400000US04003001701,4.0E+09,"Census Tract 17.01, Cochise County, Arizona",4073,455
1400000US04003001702,4.0E+09,"Census Tract 17.02, Cochise County, Arizona",4064,383
1400000US04003001703,4.0E+09,"Census Tract 17.03, Cochise County, Arizona",4769,458
1400000US04003001800,4.0E+09,"Census Tract 18, Cochise County, Arizona",8947,551
1400000US04003001900,4.0E+09,"Census Tract 19, Cochise County, Arizona",6579,640
1400000US04003002001,4.0E+09,"Census Tract 20.01, Cochise County, Arizona",4886,509
1400000US04003002002,4.0E+09,"Census Tract 20.02, Cochise County, Arizona",4481,420
1400000US04003002100,4.0E+09,"Census Tract 21, Cochise County, Arizona",5229,544
1400000US04005000100,4.0E+09,"Census Tract 1, Coconino County, Arizona",3744,229
1400000US04005000200,4.0E+09,"Census Tract 2, Coconino County, Arizona",4171,447
1400000US04005000300,4.0E+09,"Census Tract 3, Coconino County, Arizona",6785,654
1400000US04005000400,4.0E+09,"Census Tract 4, Coconino County, Arizona",5380,470
1400000US04005000500,4.0E+09,"Census Tract 5, Coconino County, Arizona",4483,485
1400000US04005000600,4.0E+09,"Census Tract 6, Coconino County, Arizona",5527,489
1400000US04005000700,4.0E+09,"Census Tract 7, Coconino County, Arizona",3242,349
1400000US04005000800,4.0E+09,"Census Tract 8, Coconino County, Arizona",5232,505
1400000US04005000900,4.0E+09,"Census Tract 9, Coconino County, Arizona",6720,628
1400000US04005001000,4.0E+09,"Census Tract 10, Coconino County, Arizona",8972,913
1400000US04005001101,4.0E+09,"Census Tract 11.01, Coconino County, Arizona",5091,552
1400000US04005001102,4.0E+09,"Census Tract 11.02, Coconino County, Arizona",6907,552
1400000US04005001200,4.0E+09,"Census Tract 12, Coconino County, Arizona",2732,238
1400000US04005001301,4.0E+09,"Census Tract 13.01, Coconino County, Arizona",5238,548
1400000US04005001302,4.0E+09,"Census Tract 13.02, Coconino County, Arizona",5347,625
1400000US04005001500,4.0E+09,"Census Tract 15, Coconino County, Arizona",2934,457
1400000US04005001600,4.0E+09,"Census Tract 16, Coconino County, Arizona",3068,119
1400000US04005001700,4.0E+09,"Census Tract 17, Coconino County, Arizona",3687,229
1400000US04005002000,4.0E+09,"Census Tract 20, Coconino County, Arizona",2174,357
1400000US04005002100,4.0E+09,"Census Tract 21, Coconino County, Arizona",7263,161
1400000US04005002200,4.0E+09,"Census Tract 22, Coconino County, Arizona",6037,693
1400000US04005002300,4.0E+09,"Census Tract 23, Coconino County, Arizona",5515,506
1400000US04005942201,4.0E+09,"Census Tract 9422.01, Coconino County, Arizona",3913,338
1400000US04005942202,4.0E+09,"Census Tract 9422.02, Coconino County, Arizona",3813,326
1400000US04005944900,4.0E+09,"Census Tract 9449, Coconino County, Arizona",5159,614
1400000US04005945000,4.0E+09,"Census Tract 9450, Coconino County, Arizona",4356,462
1400000US04005945100,4.0E+09,"Census Tract 9451, Coconino County, Arizona",3494,295
1400000US04005945200,4.0E+09,"Census Tract 9452, Coconino County, Arizona",4833,651
1400000US04007000100,4.0E+09,"Census Tract 1, Gila County, Arizona",1604,420
1400000US04007000200,4.0E+09,"Census Tract 2, Gila County, Arizona",2118,422
1400000US04007000301,4.0E+09,"Census Tract 3.01, Gila County, Arizona",6332,464
1400000US04007000302,4.0E+09,"Census Tract 3.02, Gila County, Arizona",2721,306
1400000US04007000400,4.0E+09,"Census Tract 4, Gila County, Arizona",3920,395
