AFFGEOID,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US04001942600,4001942600,"Census Tract 9426, Apache County, Arizona",1472,208
1400000US04001942700,4001942700,"Census Tract 9427, Apache County, Arizona",4836,317
1400000US04001944000,4001944000,"Census Tract 9440, Apache County, Arizona",6134,663
1400000US04001944100,4001944100,"Census Tract 9441, Apache County, Arizona",5803,420
1400000US04001944201,4001944201,"Census Tract 9442.01, Apache County, Arizona",4141,682
1400000US04001944202,4001944202,"Census Tract 9442.02, Apache County, Arizona",3938,639
1400000US04001944300,4001944300,"Census Tract 9443, Apache County, Arizona",7372,521
1400000US04001944901,4001944901,"Census Tract 9449.01, Apache County, Arizona",3750,362
1400000US04001944902,4001944902,"Census Tract 9449.02, Apache County, Arizona",5463,400
1400000US04001945001,4001945001,"Census Tract 9450.01, Apache County, Arizona",4814,682
1400000US04001945002,4001945002,"Census Tract 9450.02, Apache County, Arizona",4334,337
1400000US04001945100,4001945100,"Census Tract 9451, Apache County, Arizona",2395,319
1400000US04001970200,4001970200,"Census Tract 9702, Apache County, Arizona",4923,604
1400000US04001970300,4001970300,"Census Tract 9703, Apache County, Arizona",3965,521
1400000US04001970501,4001970501,"Census Tract 9705.01, Apache County, Arizona",5098,311
1400000US04001970502,4001970502,"Census Tract 9705.02, Apache County, Arizona",3704,335
1400000US04003000100,4003000100,"Census Tract 1, Cochise County, Arizona",1578,208
1400000US04003000201,4003000201,"Census Tract 2.01, Cochise County, Arizona",3172,477
1400000US04003000202,4003000202,"Census Tract 2.02, Cochise County, Arizona",3923,184
1400000US04003000203,4003000203,"Census Tract 2.03, Cochise County, Arizona",2543,290
1400000US04003000301,4003000301,"Census Tract 3.01, Cochise County, Arizona",3875,285
1400000US04003000302,4003000302,"Census Tract 3.02, Cochise County, Arizona",5278,641
1400000US04003000303,4003000303,"Census Tract 3.03, Cochise County, Arizona",3215,383
1400000US04003000400,4003000400,"Census Tract 4, Cochise County, Arizona",2173,245
1400000US04003000500,4003000500,"Census Tract 5, Cochise County, Arizona",9086,1318
1400000US04003000600,4003000600,"Census Tract 6, Cochise County, Arizona",2942,464
1400000US04003000700,4003000700,"Census Tract 7, Cochise County, Arizona",4637,472
1400000US04003000800,4003000800,"Census Tract 8, Cochise County, Arizona",4320,549
1400000US04003000901,4003000901,"Census Tract 9.01, Cochise County, Arizona",3032,436
1400000US04003000902,4003000902,"Census Tract 9.02, Cochise County, Arizona",2145,320
1400000US04003001000,4003001000,"Census Tract 10, Cochise County, Arizona",1609,257
1400000US04003001100,4003001100,"Census Tract 11, Cochise County, Arizona",3613,345
1400000US04003001200,4003001200,"Census Tract 12, Cochise County, Arizona",2909,343
1400000US04003001300,4003001300,"Census Tract 13, Cochise County, Arizona",5449,483
1400000US04003001401,4003001401,"Census Tract 14.01, Cochise County, Arizona",4680,484
1400000US04003001402,4003001402,"Census Tract 14.02, Cochise County, Arizona",1063,236
1400000US04003001501,4003001501,"Census Tract 15.01, Cochise County, Arizona",3518,357
1400000US04003001502,4003001502,"Census Tract 15.02, Cochise County, Arizona",4417,527
1400000US04003001601,4003001601,"Census Tract 16.01, Cochise County, Arizona",5315,653
1400000US04003001602,4003001602,"Census Tract 16.02, Cochise County, Arizona",3287,400
1400000US04003001701,4003001701,"Census Tract 17.01, Cochise County, Arizona",4073,455
1400000US04003001702,4003001702,"Census Tract 17.02, Cochise County, Arizona",4064,383
1400000US04003001703,4003001703,"Census Tract 17.03, Cochise County, Arizona",4769,458
1400000US04003001800,4003001800,"Census Tract 18, Cochise County, Arizona",8947,551
1400000US04003001900,4003001900,"Census Tract 19, Cochise County, Arizona",6579,640
1400000US04003002001,4003002001,"Census Tract 20.01, Cochise County, Arizona",4886,509
1400000US04003002002,4003002002,"Census Tract 20.02, Cochise County, Arizona",4481,420
1400000US04003002100,4003002100,"Census Tract 21, Cochise County, Arizona",5229,544
1400000US04005000100,4005000100,"Census Tract 1, Coconino County, Arizona",3744,229
1400000US04005000200,4005000200,"Census Tract 2, Coconino County, Arizona",4171,447
1400000US04005000300,4005000300,"Census Tract 3, Coconino County, Arizona",6785,654
1400000US04005000400,4005000400,"Census Tract 4, Coconino County, Arizona",5380,470
1400000US04005000500,4005000500,"Census Tract 5, Coconino County, Arizona",4483,485
1400000US04005000600,4005000600,"Census Tract 6, Coconino County, Arizona",5527,489
1400000US04005000700,4005000700,"Census Tract 7, Coconino County, Arizona",3242,349
1400000US04005000800,4005000800,"Census Tract 8, Coconino County, Arizona",5232,505
1400000US04005000900,4005000900,"Census Tract 9, Coconino County, Arizona",6720,628
1400000US04005001000,4005001000,"Census Tract 10, Coconino County, Arizona",8972,913
1400000US04005001101,4005001101,"Census Tract 11.01, Coconino County, Arizona",5091,552
1400000US04005001102,4005001102,"Census Tract 11.02, Coconino County, Arizona",6907,552
1400000US04005001200,4005001200,"Census Tract 12, Coconino County, Arizona",2732,238
1400000US04005001301,4005001301,"Census Tract 13.01, Coconino County, Arizona",5238,548
1400000US04005001302,4005001302,"Census Tract 13.02, Coconino County, Arizona",5347,625
1400000US04005001500,4005001500,"Census Tract 15, Coconino County, Arizona",2934,457
1400000US04005001600,4005001600,"Census Tract 16, Coconino County, Arizona",3068,119
1400000US04005001700,4005001700,"Census Tract 17, Coconino County, Arizona",3687,229
1400000US04005002000,4005002000,"Census Tract 20, Coconino County, Arizona",2174,357
